config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,cache_lines,cache_words_per_line,cache_module
enable_mul_enable_div_enable_counters_01110_l16_w1_icache_multiword_lookahead,0,1,1,1,0,16,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l16_w1_icache_multiword_lookahead_2way,0,1,1,1,0,16,1,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l16_w2_icache_multiword_lookahead,0,1,1,1,0,16,2,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l16_w2_icache_multiword_lookahead_2way,0,1,1,1,0,16,2,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l16_w4_icache_multiword_lookahead,0,1,1,1,0,16,4,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l16_w4_icache_multiword_lookahead_2way,0,1,1,1,0,16,4,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l16_w8_icache_multiword_lookahead,0,1,1,1,0,16,8,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l16_w8_icache_multiword_lookahead_2way,0,1,1,1,0,16,8,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l16_w16_icache_multiword_lookahead,0,1,1,1,0,16,16,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l16_w16_icache_multiword_lookahead_2way,0,1,1,1,0,16,16,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l32_w1_icache_multiword_lookahead,0,1,1,1,0,32,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l32_w1_icache_multiword_lookahead_2way,0,1,1,1,0,32,1,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l32_w2_icache_multiword_lookahead,0,1,1,1,0,32,2,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l32_w2_icache_multiword_lookahead_2way,0,1,1,1,0,32,2,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l32_w4_icache_multiword_lookahead,0,1,1,1,0,32,4,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l32_w4_icache_multiword_lookahead_2way,0,1,1,1,0,32,4,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l32_w8_icache_multiword_lookahead,0,1,1,1,0,32,8,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l32_w8_icache_multiword_lookahead_2way,0,1,1,1,0,32,8,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l32_w16_icache_multiword_lookahead,0,1,1,1,0,32,16,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l32_w16_icache_multiword_lookahead_2way,0,1,1,1,0,32,16,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l64_w1_icache_multiword_lookahead,0,1,1,1,0,64,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l64_w1_icache_multiword_lookahead_2way,0,1,1,1,0,64,1,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l64_w2_icache_multiword_lookahead,0,1,1,1,0,64,2,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l64_w2_icache_multiword_lookahead_2way,0,1,1,1,0,64,2,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l64_w4_icache_multiword_lookahead,0,1,1,1,0,64,4,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l64_w4_icache_multiword_lookahead_2way,0,1,1,1,0,64,4,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l64_w8_icache_multiword_lookahead,0,1,1,1,0,64,8,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l64_w8_icache_multiword_lookahead_2way,0,1,1,1,0,64,8,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l64_w16_icache_multiword_lookahead,0,1,1,1,0,64,16,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l64_w16_icache_multiword_lookahead_2way,0,1,1,1,0,64,16,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l128_w1_icache_multiword_lookahead,0,1,1,1,0,128,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l128_w1_icache_multiword_lookahead_2way,0,1,1,1,0,128,1,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l128_w2_icache_multiword_lookahead,0,1,1,1,0,128,2,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l128_w2_icache_multiword_lookahead_2way,0,1,1,1,0,128,2,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l128_w4_icache_multiword_lookahead,0,1,1,1,0,128,4,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l128_w4_icache_multiword_lookahead_2way,0,1,1,1,0,128,4,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l128_w8_icache_multiword_lookahead,0,1,1,1,0,128,8,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l128_w8_icache_multiword_lookahead_2way,0,1,1,1,0,128,8,icache_multiword_lookahead_2way
enable_mul_enable_div_enable_counters_01110_l128_w16_icache_multiword_lookahead,0,1,1,1,0,128,16,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_01110_l128_w16_icache_multiword_lookahead_2way,0,1,1,1,0,128,16,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w1_icache_multiword_lookahead,1,1,1,1,0,16,1,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w1_icache_multiword_lookahead_2way,1,1,1,1,0,16,1,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w2_icache_multiword_lookahead,1,1,1,1,0,16,2,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w2_icache_multiword_lookahead_2way,1,1,1,1,0,16,2,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w4_icache_multiword_lookahead,1,1,1,1,0,16,4,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w4_icache_multiword_lookahead_2way,1,1,1,1,0,16,4,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w8_icache_multiword_lookahead,1,1,1,1,0,16,8,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w8_icache_multiword_lookahead_2way,1,1,1,1,0,16,8,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w16_icache_multiword_lookahead,1,1,1,1,0,16,16,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w16_icache_multiword_lookahead_2way,1,1,1,1,0,16,16,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w1_icache_multiword_lookahead,1,1,1,1,0,32,1,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w1_icache_multiword_lookahead_2way,1,1,1,1,0,32,1,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w2_icache_multiword_lookahead,1,1,1,1,0,32,2,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w2_icache_multiword_lookahead_2way,1,1,1,1,0,32,2,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w4_icache_multiword_lookahead,1,1,1,1,0,32,4,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w4_icache_multiword_lookahead_2way,1,1,1,1,0,32,4,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w8_icache_multiword_lookahead,1,1,1,1,0,32,8,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w8_icache_multiword_lookahead_2way,1,1,1,1,0,32,8,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w16_icache_multiword_lookahead,1,1,1,1,0,32,16,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w16_icache_multiword_lookahead_2way,1,1,1,1,0,32,16,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w1_icache_multiword_lookahead,1,1,1,1,0,64,1,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w1_icache_multiword_lookahead_2way,1,1,1,1,0,64,1,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w2_icache_multiword_lookahead,1,1,1,1,0,64,2,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w2_icache_multiword_lookahead_2way,1,1,1,1,0,64,2,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w4_icache_multiword_lookahead,1,1,1,1,0,64,4,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w4_icache_multiword_lookahead_2way,1,1,1,1,0,64,4,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w8_icache_multiword_lookahead,1,1,1,1,0,64,8,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w8_icache_multiword_lookahead_2way,1,1,1,1,0,64,8,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w16_icache_multiword_lookahead,1,1,1,1,0,64,16,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w16_icache_multiword_lookahead_2way,1,1,1,1,0,64,16,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w1_icache_multiword_lookahead,1,1,1,1,0,128,1,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w1_icache_multiword_lookahead_2way,1,1,1,1,0,128,1,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w2_icache_multiword_lookahead,1,1,1,1,0,128,2,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w2_icache_multiword_lookahead_2way,1,1,1,1,0,128,2,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w4_icache_multiword_lookahead,1,1,1,1,0,128,4,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w4_icache_multiword_lookahead_2way,1,1,1,1,0,128,4,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w8_icache_multiword_lookahead,1,1,1,1,0,128,8,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w8_icache_multiword_lookahead_2way,1,1,1,1,0,128,8,icache_multiword_lookahead_2way
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w16_icache_multiword_lookahead,1,1,1,1,0,128,16,icache_multiword_lookahead
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w16_icache_multiword_lookahead_2way,1,1,1,1,0,128,16,icache_multiword_lookahead_2way
